data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,#country+code,#event+code,,#date+occurred,,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,
4735681,404,KEN5444,5444,05/05/2017,2017,1,Riots,Violent demonstration,Rioters (Kenya),Jubilee Coalition,5,,,0,50,Eastern Africa,Kenya,Kisumu,Kisumu Central,Market Milimani,Kondele,-0.0789,34.7759,1,The Star,National,"In Kondele, Kisumu town, residents of Migosi ward protested against the issuance of a certificate to Pamela Oyoo instead of Victor Rodgers. They lit bonfires and demanded that Rodgers be given the certificate or they would boycott the August polls. They accused ODM board secretary Bob Arunga of rigging out Rodgers.",0,1552576897,KEN
4735682,404,KEN5445,5445,05/05/2017,2017,1,Riots,Violent demonstration,Rioters (Kenya),Jubilee Coalition,5,,,0,50,Eastern Africa,Kenya,Nyamira,Borabu,Nyansiongo,Nyando,-0.7166,35.0333,1,The Star,National,"In Nyando subcounty, residents of Ahero ward took to the streets from 6am, protesting against the issuing of a certificate to Amos Odote. Residents questioned the criteria that the National Elections Board used to award the certificate. They blocked the Ahero-Awasi road and lit bonfires before they stormed the ODM party office and set furniture on fire. They painted the office with Jubilee Party colours and wrote 'Jubilee Party, Uhuru Tena'.",0,1552576897,KEN
4735957,404,KEN5442,5442,05/04/2017,2017,2,Riots,Violent demonstration,Rioters (Kenya),Jubilee Coalition,5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Nakuru,Molo,Sirikwa,Molo,-0.248,35.737,1,Capital FM (Nairobi),National,"Residents of Molo protest for two days after a rumour that the losing Jubilee candidate was handed the ticket after lodging a complaint to the central party tribunal. The protests were conducted ""last week"", source dated 13/05. They blocked the busy Nakuru Eldoret highway causing a traffic snarl for over four hours forcing police to lobe teargas canisters in order to disperse them.",0,1552576897,KEN
4735934,404,KEN5441,5441,05/04/2017,2017,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Nyandarua,Kipipiri,North Kinangop,Nyandarua,-0.55,36.6167,3,The Star,National,Demonstrations were in most of the major towns in Nyandarua on Thursday afternoon following claims a woman representative hopeful rigged nominations.,0,1552576897,KEN
4735992,404,KEN6141,6141,05/04/2017,2017,3,Strategic developments,Looting/property destruction,Unidentified Communal Militia (Kenya),,4,,,0,40,Eastern Africa,Kenya,Baringo,Baringo South,Marigat,Chemorongion,0.4673,36.1935,1,Daily Nation,National,Looting: Cattle rustlers attacked the village of Chemorongion in April or early May 2017 (the source does not incidate an exact date). The source does not indicate any fatalities or injuries. 300 livestock were stolen.,0,1552576897,KEN
4735996,404,KEN5439,5439,05/03/2017,2017,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Kisumu,Kisumu Central,Market Milimani,Kisumu,-0.1,34.75,3,Daily Nation (Kenya),National,The announcement that Prof Nyong'o had trounced Governor Jack resulted in protests in an unspecified location.,0,1552576897,KEN
4736238,404,KEN5440,5440,05/03/2017,2017,2,Riots,Violent demonstration,Rioters (Kenya),Jubilee Coalition,5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Nakuru,Molo,Sirikwa,Molo,-0.248,35.737,1,Capital FM (Nairobi),National,"Residents of Molo protest for two days after a rumour that the losing Jubilee candidate was handed the ticket after lodging a complaint to the central party tribunal. The protests were conducted ""last week"", source dated 13/05. They blocked the busy Nakuru Eldoret highway causing a traffic snarl for over four hours forcing police to lobe teargas canisters in order to disperse them.",0,1552576897,KEN
4736209,404,KEN6505,6505,05/03/2017,2017,2,Violence against civilians,Attack,Al Shabaab,,2,Civilians (Kenya),,7,27,Eastern Africa,Kenya,Mandera,Mandera South,Elwak South,El Wak,2.8094,40.9358,1,Twitter,Other,Al Shabaab militants attacked El Wak town. 2 people were killed.,2,1552576897,KEN
4736396,404,KEN6089,6089,05/02/2017,2017,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Nyeri,Nyeri Town,Rware,Nyeri,-0.4167,36.95,1,Daily Nation (Kenya),National,A suspected car thief is attacked and injured by a vigilante mob.,0,1552576898,KEN
4736505,404,KEN6012,6012,05/02/2017,2017,1,Protests,Peaceful protest,Protesters (Kenya),Jubilee Coalition,6,,,0,60,Eastern Africa,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,1,Daily Nation,National,Supporters of candidates who had lost the Jubilee primaries thronged outside the Jubilee headquarters to protest for their candidates.,0,1552576898,KEN
